subject_id,dataset,vessel_density,avg_edge_thickness,total_junctions,total_endpoints,total_edges,avg_edge_length
01_test,DRIVE,0.107734,3.9705,214,245,196,41.7908
02_test,DRIVE,0.104961,4.2936,175,218,174,42.9713
03_test,DRIVE,0.113677,3.898,271,267,223,35.9641
04_test,DRIVE,0.112905,5.1269,171,207,166,43.9819
05_test,DRIVE,0.102031,4.2026,158,182,147,50.483
06_test,DRIVE,0.093226,3.5885,122,211,150,47.5467
07_test,DRIVE,0.093251,4.6428,132,151,122,48.9836
08_test,DRIVE,0.085495,4.0263,113,219,145,43.4
09_test,DRIVE,0.06742,3.3697,44,157,86,59.1628
10_test,DRIVE,0.096963,4.328,199,165,155,44.5032
11_test,DRIVE,0.081007,4.1224,100,204,135,43.6963
12_test,DRIVE,0.080216,3.5289,96,163,104,57.4904
13_test,DRIVE,0.074573,3.8692,60,154,91,59.978
14_test,DRIVE,0.105537,3.8374,185,202,170,45.0
15_test,DRIVE,0.126333,4.5701,296,275,254,33.4291
16_test,DRIVE,0.100276,4.3135,146,168,139,49.554
17_test,DRIVE,0.068199,3.0755,54,222,111,44.9369
18_test,DRIVE,0.078619,4.3632,74,172,107,50.729
19_test,DRIVE,0.125145,4.7896,261,146,180,46.7944
20_test,DRIVE,0.07637,3.552,84,224,133,46.1353
STAR 01_OSC,IOSTAR,0.13378,6.2989,565,489,466,35.7296
STAR 02_ODC,IOSTAR,0.154069,6.5722,848,579,610,31.4738
STAR 03_OSN,IOSTAR,0.138864,6.0607,463,494,419,39.9833
STAR 05_ODC,IOSTAR,0.125944,6.2691,412,320,319,49.8777
STAR 06_ODN,IOSTAR,0.141979,6.2504,606,552,510,34.5765
STAR 08_OSN,IOSTAR,0.153864,7.1256,507,354,387,45.5917
STAR 09_OSN,IOSTAR,0.143314,6.3599,546,485,442,38.5113
STAR 10_OSN,IOSTAR,0.106114,5.5872,239,396,274,49.0693
STAR 13_OSN,IOSTAR,0.127794,5.7665,405,454,365,42.4685
STAR 15_OSN,IOSTAR,0.146157,6.2256,717,570,548,33.0967
STAR 16_OSN,IOSTAR,0.114285,5.1807,384,614,416,35.0529
STAR 17_ODN,IOSTAR,0.144032,6.5623,621,506,490,35.2837
STAR 20_ODC,IOSTAR,0.129189,6.1053,475,418,373,42.6139
STAR 21_OSC,IOSTAR,0.154452,6.1871,799,697,657,29.7123
STAR 24_OSC,IOSTAR,0.093384,5.3206,226,358,251,48.8924
STAR 26_ODC,IOSTAR,0.156813,6.1862,843,725,679,28.6406
STAR 28_ODN,IOSTAR,0.146669,6.3709,659,495,497,36.2233
STAR 30_ODC,IOSTAR,0.146123,5.8971,833,913,754,25.443
STAR 31_ODN,IOSTAR,0.129105,6.0681,455,440,376,41.8457
STAR 32_ODC,IOSTAR,0.149327,6.3573,674,496,517,35.6209
STAR 34_ODC,IOSTAR,0.151353,6.1962,744,528,566,33.6095
STAR 36_OSC,IOSTAR,0.139704,5.819,657,713,586,30.5461
STAR 37_ODN,IOSTAR,0.132039,5.9775,419,484,400,41.525
STAR 38_ODC,IOSTAR,0.161691,6.6682,875,669,658,29.766
STAR 39_ODC,IOSTAR,0.155227,6.3953,826,632,616,31.1364
STAR 40_OSC,IOSTAR,0.145191,6.2584,698,617,556,32.3165
STAR 43_OSC,IOSTAR,0.169621,6.4473,975,733,731,28.3666
STAR 44_OSN,IOSTAR,0.123578,6.2809,440,367,353,43.7649
STAR 45_ODC,IOSTAR,0.148711,6.401,690,578,537,33.7207
STAR 48_OSN,IOSTAR,0.135722,5.8081,550,655,517,31.6905
